the facts get in the way
Basic
0.6 0.6
432 172.8
Moved 944.3945 409.1709 458 0.1138214 0.2757353
Moved 944.4559 356.9584 473.0104 -0.00704065 0.321723
Moved 944.5259 334 480 -0.06018519 0.3431373
Moved 944.5867 330 482 -0.06944443 0.3492648
Moved 944.6445 340.9731 459.4653 -0.04404366 0.2802247
Moved 944.7014 359.1626 429.7677 -0.001938442 0.1892392
Moved 944.7592 383.7041 390.7551 0.05487054 0.06971546
Moved 944.8157 395.7788 372.4424 0.08282125 0.01361043
Ended 944.9083 402.3056 367 0.09792953 -0.003063632
Began 945.1314 356 538 -0.009259283 0.5208334
Moved 945.192 368.212 513.9799 0.01900931 0.4472424
Moved 945.2565 399.0122 447.9756 0.09030601 0.2450233
Moved 945.3171 418.5 410 0.1354167 0.1286765
Moved 945.3798 426 392.6251 0.1527777 0.07544466
Moved 945.4407 428 384.0831 0.1574074 0.0492743
Moved 945.5005 412.7922 377.9307 0.1222041 0.03042502
Moved 945.571 351.4508 392.5723 -0.01978988 0.07528292
Moved 945.6324 308.3784 419.5179 -0.1194943 0.1578368
Moved 945.6953 281.6402 443.3598 -0.1813884 0.2308818
Moved 945.7676 260.771 466.4581 -0.2296968 0.3016485
Ended 945.8299 257 472.4389 -0.2384259 0.3199721
Began 946.075 279 512 -0.1875 0.4411765
Stationary 946.1502 279 512 -0.1875 0.4411765
Stationary 946.2094 279 512 -0.1875 0.4411765
Stationary 946.2697 279 512 -0.1875 0.4411765
Moved 946.3313 292.7107 484.7208 -0.1557623 0.3576005
Moved 946.4001 342.1798 411.7003 -0.04125044 0.1338858
Moved 946.4621 382.2249 354.9586 0.05144646 -0.03995531
Moved 946.5231 408.6699 318.8621 0.1126618 -0.150545
Moved 946.6051 425.6767 290.3233 0.1520293 -0.2379801
Moved 946.6635 428.5393 280.4607 0.1586559 -0.2681964
Moved 946.7224 430 272.9387 0.162037 -0.2912416
Moved 946.7797 430 267.775 0.162037 -0.3070617
Moved 946.8461 413.2683 278.4716 0.1233062 -0.2742905
Moved 946.9092 367.307 326.6492 0.01691441 -0.1266875
Moved 946.9827 337.1505 377.2476 -0.05289241 0.02833217
Moved 947.0461 336 399.203 -0.05555556 0.09559748
Moved 947.1397 398.155 444.0969 0.08832186 0.2331399
Moved 947.2003 436.6422 473.6422 0.1774124 0.3236587
