the facts get in the way
Basic
0.4 0.4
288 217.6
Moved 514.6805 376 353.848 0.05555556 -0.06503681
Moved 514.7178 376 353 0.05555556 -0.06893383
Moved 514.7543 366.1762 353 0.02144501 -0.06893383
Moved 514.7908 354.345 353 -0.01963549 -0.06893383
Moved 514.8276 335.1622 365.1284 -0.08624248 -0.01319689
Moved 514.864 323.9604 370.5198 -0.1251374 0.01157985
Moved 514.9017 309.5 379 -0.1753473 0.05055162
Moved 514.9595 298.5 389.5 -0.2135417 0.09880515
Moved 514.9963 290.3718 396.8141 -0.2417645 0.1324177
Moved 515.0328 287.3185 401.363 -0.2523664 0.1533228
Moved 515.0733 283.3199 405.6802 -0.2662505 0.1731626
Moved 515.1124 281 409.5419 -0.2743056 0.1909096
Moved 515.1516 279 412.8453 -0.2812501 0.2060908
Moved 515.1937 277.7159 415.2841 -0.2857088 0.2172984
Moved 515.2303 276.5 418.5 -0.2899306 0.2320772
Moved 515.2686 277 420.5 -0.2881944 0.2412683
Moved 515.3091 277 424.4392 -0.2881944 0.2593714
Moved 515.3743 277 431.1926 -0.2881944 0.2904073
Moved 515.4161 277 434.1989 -0.2881944 0.3042231
Moved 515.4536 277 436.0663 -0.2881944 0.312805
Moved 515.4904 277 438.3688 -0.2881944 0.323386
Stationary 515.53 277 438.3688 -0.2881944 0.323386
Ended 515.5681 277 438 -0.2881944 0.3216912
Began 515.8029 259 436 -0.3506944 0.3125
Stationary 515.8519 259 436 -0.3506944 0.3125
Stationary 515.8919 259 436 -0.3506944 0.3125
Stationary 515.9288 259 436 -0.3506944 0.3125
Stationary 515.9655 259 436 -0.3506944 0.3125
Stationary 516.0009 259 436 -0.3506944 0.3125
Moved 516.0381 259 424.2357 -0.3506944 0.258436
Moved 516.079 250.804 409.4121 -0.3791526 0.1903131
Moved 516.1226 250 397.5 -0.3819445 0.1355699
Moved 516.1608 249 392.0086 -0.3854167 0.1103337
Moved 516.2 249 383.3843 -0.3854167 0.07070009
Moved 516.2498 248 377.5 -0.3888889 0.04365809
Moved 516.2892 248 373.4241 -0.3888889 0.0249268
Moved 516.3312 248 370.5536 -0.3888889 0.01173566
Moved 516.3707 247 364.7079 -0.3923612 -0.0151292
Moved 516.4106 247 360.3011 -0.3923612 -0.0353809
Moved 516.447 247 358.7166 -0.3923612 -0.0426629
Moved 516.4843 247 357.9619 -0.3923612 -0.04613119
Stationary 516.5338 247 358 -0.3923612 -0.04595589
Moved 516.5704 262.9233 363.1158 -0.3370717 -0.02244557
Moved 516.6067 275.3014 370.5206 -0.2940925 0.01158336
Moved 516.6649 297.9676 387.9676 -0.2153904 0.09176297
Moved 516.7014 309.7817 397.7817 -0.1743691 0.1368644
Moved 516.7363 318.3899 404.3899 -0.1444796 0.167233
Moved 516.7711 325.0139 410.3426 -0.1214795 0.1945892
Moved 516.8102 333.2849 417.2849 -0.09276092 0.2264929
Moved 516.8452 338.5097 421.5096 -0.07461921 0.2459082
Moved 516.881 342.3771 424.3771 -0.0611905 0.2590861
Moved 516.9161 347.4841 428.2421 -0.04345812 0.2768478
Moved 516.9516 351.1973 432.1973 -0.03056504 0.2950242
Moved 516.9872 354.0632 435.0632 -0.02061389 0.3081948
Moved 517.0461 359.4961 439.4961 -0.001749545 0.3285666
Moved 517.0824 361.3623 441.3623 0.004730225 0.337143
Moved 517.1226 365.6642 445.6641 0.01966715 0.3569124
Moved 517.1613 367.0841 447.0841 0.02459764 0.3634381
Moved 517.2002 370.4987 449 0.03645391 0.3722427
Moved 517.2391 371.5 450 0.03993049 0.3768383
Moved 517.2808 373 452 0.0451389 0.3860295
Moved 517.3232 375.601 454 0.0541702 0.3952207
Moved 517.3629 377.4353 455.4353 0.06053925 0.4018167
Moved 517.4021 377 455 0.05902782 0.3998162
Moved 517.4722 379.1838 456 0.06661028 0.4044117
Stationary 517.5101 379 456 0.06597222 0.4044117
Ended 517.548 379 456 0.06597222 0.4044117
PhraseEnd 518.8319
